truth_idx,det_idx,x_true,y_true,x_det,y_det,err_px
0,17,491.49648639603305,210.71279419450613,491.4100325278353,210.91194197207187,0.21710391206914179
1,38,281.73790328478475,395.02803936295226,281.6930125166232,395.18183690598,0.16021505955278856
2,30,544.4822978645254,333.32353753304807,544.4302554022112,333.33706935752565,0.053772931456481224
3,13,443.5523861911618,152.56285488403114,443.4438529741263,152.52705678238837,0.11428457149286234
4,37,65.95501977766861,394.8330674501637,65.93901289403016,394.637674169718,0.19604783693562078
5,36,617.7395921246092,382.02019059350965,617.6067122282461,381.94097469132794,0.15470043961128782
6,14,483.47345344596096,187.5649246280613,483.4578105716994,187.5664846002224,0.0157204652700472
7,10,499.0762551033731,141.36089643149376,499.1289728888525,141.2567959918217,0.11668790188262157
8,29,87.19913405489172,325.04290485233855,87.16159464699497,324.93539398249624,0.11387622350380863
9,4,288.941597122625,72.12465736193838,288.9523964747135,72.07724237488421,0.04862928133211775
10,6,239.11956316959586,100.15722235340047,239.22878476294093,100.06643223847527,0.1420288753069823
11,0,587.1548830192247,10.430817703968568,587.099260227534,10.51161783561453,0.0980946289532103
12,35,410.059565170496,373.7067599159965,409.96221690691067,373.7535945666882,0.10802855607891254
13,27,522.0487699075395,316.820499171887,522.1357897098824,316.6781603457906,0.16683161395335774
14,31,284.5772884659093,335.60706643987214,284.5459997824002,335.69120466330855,0.08976760194395533
15,33,149.25143983727034,370.81972845623704,149.19745071665207,370.78591195286157,0.06370542398946553
16,18,354.17007667191257,220.8547514008664,354.1779726475805,220.86984417022114,0.017033441183257034
17,24,46.94960232121375,272.0333973140485,46.986129361049706,272.10791715754857,0.08299055195895638
18,5,525.0971136673563,72.14540112748837,525.1357355936844,72.2312945554126,0.09417714241720299
19,3,402.4219138504126,60.37101426776363,402.4278662205743,60.42857056615998,0.057863271560052824
20,28,481.56292529344404,318.4757801943598,481.4444486568673,318.47987528098446,0.11854738777807299
21,19,228.9332560492976,226.53083206269974,228.91707563503016,226.56680655698344,0.03944578614799503
22,23,614.6569632712094,270.400025620234,614.6181510466189,270.4890070511045,0.09707772049978554
23,32,566.0938219476958,363.4894675558679,566.1124475922919,363.6422885630241,0.15395185891978638
24,25,494.2680691681749,302.7787371202753,494.16007727647934,302.8377098250451,0.12304482345818858
25,20,128.8438311153317,264.96800070662607,128.7825744186525,265.03680491600244,0.09212167017567328
26,22,299.1673483331234,267.5905369073627,299.07206616713387,267.4400999267444,0.17807295216629976
27,12,34.42115738280521,148.6407456971773,34.426371431813166,148.77130875540365,0.13066712853842224
28,1,103.58522203428494,21.361110908659764,103.57855048950356,21.4045676095677,0.04396583177390983
29,16,434.5886447297766,210.51030338228085,434.67186909573013,210.5793814576993,0.10815764231843726
30,7,473.22110959829354,106.99645753390061,473.17631547926646,107.02861346195785,0.05514088146406258
31,15,612.6610925038154,197.37434797568045,612.6042420174323,197.3444476373938,0.06423400992976103
32,39,210.96667419448312,404.6858321429654,210.87900454480885,404.59660399224936,0.1250904886640692
33,8,238.90777597782792,116.01580041324878,238.85017281905124,116.13385763185242,0.13136068957446687
34,2,300.94193785865576,34.16907762710476,301.027564050264,34.23452099701964,0.10777142179235809
35,9,125.60907078676284,138.1248936822504,125.60907868240987,138.14852511898565,0.023631438054289647
36,11,88.33086234000525,143.81469111927456,88.25988903477487,143.91644107575758,0.1240575015854389
37,26,304.79128381743453,315.4530958627331,304.7934594523962,315.4938549555672,0.04081711695042418
38,21,149.04525250585345,266.5769829910357,149.03545475535378,266.5246012071795,0.053290216689496774
39,34,426.3035606712515,372.2965654435887,426.2854383708989,372.23394967453254,0.06518552220059058
